0.004, 0.218247, 
0.008, 0.276471, 
0.012, 0.305453, 
0.016, 0.320212, 
0.02, 0.326927, 
0.024, 0.328799, 
0.028, 0.327679, 
0.032, 0.324713, 
0.036, 0.320637, 
0.04, 0.315939, 
0.044, 0.310948, 
0.048, 0.305891, 
0.052, 0.300924, 
0.056, 0.296158, 
0.06, 0.291669, 
0.064, 0.287513, 
0.068, 0.283731, 
0.072, 0.280353, 
0.076, 0.277403, 
0.08, 0.274902, 
0.084, 0.272871, 
0.088, 0.27133, 
0.092, 0.270305, 
0.096, 0.269824, 
0.1, 0.269924, 
0.104, 0.27065, 
0.108, 0.27206, 
0.112, 0.274231, 
0.116, 0.277262, 
0.12, 0.281282, 
0.124, 0.28647, 
0.128, 0.293067, 
0.132, 0.301415, 
0.136, 0.312016, 
0.14, 0.325628, 
0.144, 0.34347, 
0.148, 0.367635, 
0.152, 0.402007, 
0.156, 0.454266, 
0.16, 0.536568, 
0.164, 0.636017, 
0.168, 0.698379, 
0.172, 0.720054, 
0.176, 0.719071, 
0.18, 0.706592, 
0.184, 0.688444, 
0.188, 0.667734, 
0.192, 0.646184, 
0.196, 0.624771, 
0.2, 0.604053, 
0.204, 0.584347, 
0.208, 0.565827, 
0.212, 0.548578, 
0.216, 0.532631, 
0.22, 0.517987, 
0.224, 0.504627, 
0.228, 0.492517, 
0.232, 0.481621, 
0.236, 0.471896, 
0.24, 0.463299, 
0.244, 0.455785, 
0.248, 0.44931, 
0.252, 0.443826, 
0.256, 0.439287, 
0.26, 0.435645, 
0.264, 0.43285, 
0.268, 0.430848, 
0.272, 0.429586, 
0.276, 0.429006, 
0.28, 0.429049, 
0.284, 0.429652, 
0.288, 0.430754, 
0.292, 0.432288, 
0.296, 0.43419, 
0.3, 0.436398, 
0.304, 0.438848, 
0.308, 0.441481, 
0.312, 0.44424, 
0.316, 0.447075, 
0.32, 0.449938, 
0.324, 0.452786, 
0.328, 0.455582, 
0.332, 0.458295, 
0.336, 0.460897, 
0.34, 0.463367, 
0.344, 0.465686, 
0.348, 0.467843, 
0.352, 0.469825, 
0.356, 0.471627, 
0.36, 0.473243, 
0.364, 0.474671, 
0.368, 0.475909, 
0.372, 0.476957, 
0.376, 0.477817, 
0.38, 0.478492, 
0.384, 0.478989, 
0.388, 0.479324, 
0.392, 0.479531, 
0.396, 0.479672, 
0.4, 0.479859, 
